email,label
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Urgent: Your account has been compromised. Click the link to reset your password.,phishing
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
Meeting rescheduled to 3 PM. Please confirm attendance.,legitimate
